,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,val_precision,val_accuracy,val_recall,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
25,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.0005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5730773687362671,0.5467840075492859,0.7051470518112183,0.183756064612842,0.005177514792899629,0.519280205655527,0.5605261445045471,0.5595576643943787,0.9733711004257202,0.5540284360189573,0.5655526992287918,0.42,0.72,0.4,0.72
26,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.0005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5530473828315735,0.526878821849823,0.7487745165824891,-0.002519933565387822,0.009178321678321444,0.5604113110539846,0.5569620132446289,0.5560821294784546,0.9971671104431152,0.5540284360189573,0.5655526992287918,0.61,0.72,0.6,0.72
27,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.00075,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.7383684396743775,0.7194312691688538,0.7622548937797546,0.5931698164321122,0.029431145777299772,0.5347043701799485,0.5632871508598327,0.5478672981262207,0.8424929261207581,0.5540284360189573,0.5655526992287918,0.84,0.72,0.81,0.72
28,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.00075,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6138192892074585,0.6010832905769348,0.7497549057006836,0.3430936820756545,0.06177380311995684,0.5411311053984575,0.5604814410209655,0.5570300221443176,0.9529745221138001,0.5540284360189573,0.5655526992287918,1.07,0.72,1.04,0.72
29,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.00075,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5614526629447937,0.5459715485572815,0.8139705896377564,-0.0009372480180066534,0.03782947821409355,0.538560411311054,0.5585623502731323,0.5586098074913025,0.9943342804908752,0.5540284360189573,0.5655526992287918,0.39,0.72,0.39,0.72
30,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.7720089554786682,0.7522004008293152,0.7825980305671691,0.6099957364760384,0.029142011834319526,0.5475578406169666,0.5683847546577454,0.559873616695404,0.8764872550964355,0.5540284360189573,0.5655526992287918,0.96,0.72,0.93,0.72
31,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6495365381240845,0.6473933696746826,0.7857843160629272,0.45348531720527374,0.05983727810650885,0.5411311053984575,0.5567212462425232,0.5500789999961853,0.9473087787628174,0.5540284360189573,0.5655526992287918,1.02,0.72,1.0,0.72
32,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5747110605239868,0.5331076502799987,0.5953431367874146,0.14297168529193316,0.036135018827326615,0.538560411311054,0.5597597479820251,0.557345962524414,0.9660056591033935,0.5540284360189573,0.5655526992287918,0.6,0.72,0.58,0.72
33,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.7106026411056519,0.6945158958435058,0.7544117569923401,0.4834154372293824,0.056213017751479466,0.5012853470437018,0.5741790056228637,0.531437611579895,0.6277620434761048,0.5540284360189573,0.5655526992287918,0.69,0.72,0.65,0.72
34,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6059272527694702,0.6105619430541992,0.8480392098426819,0.245239898220865,0.07025282409897793,0.5565552699228792,0.5615735530853272,0.5469194293022156,0.8555240750312805,0.5540284360189573,0.5655526992287918,0.93,0.72,0.91,0.72
35,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.525833261013031,0.47840216755867004,0.5144607841968536,0.008318871593385513,0.00812937062937058,0.43444730077120824,0.22335348129272461,0.48878358006477357,0.3983002781867981,0.5540284360189573,0.5655526992287918,,0.72,-0.57,0.72
36,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.0005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6223507642745971,0.6790792226791382,0.6786377668380738,0.5093989511163224,0.036135018827326615,0.4922879177377892,0.4847056806087494,0.5538704514503479,0.4181818187236786,0.4364928909952607,0.43444730077120824,-0.41,-0.72,-0.43,-0.72
37,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.0005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5284455299377442,0.5809072494506836,0.4015479862689972,0.31072836506192747,-0.00687197417966634,0.5269922879177378,0.5354343771934509,0.5769352316856384,0.2014545440673828,0.4364928909952607,0.43444730077120824,-0.08,-0.72,-0.12,-0.72
38,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.0005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.45413915514945985,0.5367637157440186,0.2950464427471161,0.03651368087307749,0.01652770306616458,0.5552699228791774,0.0,0.5655608177185059,0.0,0.4364928909952607,0.43444730077120824,-0.4,-0.72,-0.42,-0.72
39,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.00075,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6857090711593627,0.7267434000968933,0.6928792476654053,0.5877867056779071,0.05993813878429277,0.5334190231362468,0.46890835762023925,0.5481832504272461,0.3185454547405243,0.4364928909952607,0.43444730077120824,-0.03,-0.72,-0.07,-0.72
40,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.00075,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5854396224021912,0.6300609350204468,0.5321981310844421,0.39770918544858813,0.08050026896180729,0.5334190231362468,0.46631328463554383,0.5450236916542053,0.3323636412620544,0.4364928909952607,0.43444730077120824,0.11,-0.72,0.07,-0.72
41,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.00075,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.4975348889827728,0.5611374378204346,0.36563467383384707,0.17030616335591642,0.0647189349112427,0.5604113110539846,0.4803716838359833,0.5624012589454651,0.04945454448461532,0.4364928909952607,0.43444730077120824,0.04,-0.72,0.01,-0.72
42,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6966288805007934,0.7451590895652771,0.7396285057067871,0.6259587295412434,0.025685852608929416,0.5089974293059126,0.4800969660282135,0.5551342725753784,0.29890908896923063,0.4364928909952607,0.43444730077120824,-0.13,-0.72,-0.16,-0.72
43,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6487652420997619,0.6709546327590943,0.5411764681339264,0.4777817653499459,0.09942845615922535,0.5347043701799485,0.5153889536857605,0.5703001618385315,0.1956363648176193,0.4364928909952607,0.43444730077120824,-0.14,-0.72,-0.18,-0.72
44,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5302382826805114,0.5814488768577576,0.3811145484447479,0.2443964718204974,0.05441769768692839,0.5295629820051414,0.5053172409534454,0.5627172350883484,0.14763636142015457,0.4364928909952607,0.43444730077120824,-0.26,-0.72,-0.29,-0.72
45,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6648765444755554,0.7058903217315674,0.6622290968894958,0.57431084251312,0.07591447014523922,0.5269922879177378,0.4662903845310211,0.5333333373069763,0.5192727208137512,0.4364928909952607,0.43444730077120824,-0.25,-0.72,-0.29,-0.72
46,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5238280415534973,0.5800947904586792,0.4492260038852692,0.22262341459761914,0.03518692845615945,0.519280205655527,0.45903508067131044,0.54470773935318,0.3265454560518265,0.4364928909952607,0.43444730077120824,-0.24,-0.72,-0.27,-0.72
47,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5103757202625274,0.563981032371521,0.3495356112718582,0.13972087603612215,-0.015680473372781,0.5141388174807198,0.40999109745025636,0.5396524548530579,0.15490908762440087,0.4364928909952607,0.43444730077120824,-0.45,-0.72,-0.48,-0.72
