,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
21,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.49461055994033815,0.5360000014305115,0.6379999816417694,0.005317379367325126,-0.04884003237118961,0.4723294723294723,0.4364928909952607,0.43444730077120824,-0.8,-0.73,-0.86,-0.72
22,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.46563521027565,0.5199999928474426,0.6281884014606476,0.004074403097204415,-0.025708119773401594,0.5045045045045045,0.4364928909952607,0.43444730077120824,-0.45,-0.73,-0.53,-0.72
23,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DRNN,adam,0.2,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,130369.0,2110.0,0.4225819706916809,0.4959999918937683,0.4642522752285004,0.014811524583511648,-0.014175883463717343,0.51994851994852,0.4364928909952607,0.43444730077120824,-0.77,-0.73,-0.86,-0.72
24,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.001,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5192794620990753,0.47600001096725464,0.39670330286026,0.1329211127771388,-0.03050984623684927,0.46074646074646075,0.5540284360189573,0.5655526992287918,0.17,0.73,0.14,0.72
25,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.001,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5604580819606781,0.4959999918937683,0.41923077702522277,0.12893872010248497,-0.01842460210412722,0.44787644787644787,0.5540284360189573,0.5655526992287918,0.65,0.73,0.6,0.72
26,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.001,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.6371610939502717,0.46799999475479126,0.18753114193677903,0.10915049568369417,-0.05365524683032097,0.435006435006435,0.5540284360189573,0.5655526992287918,0.55,0.73,0.51,0.72
27,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.005,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5967863321304321,0.5040000081062317,0.405787555873394,0.11535564031269563,-0.043390882114917706,0.45045045045045046,0.5540284360189573,0.5655526992287918,0.77,0.73,0.69,0.72
28,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.005,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5961183845996857,0.5599999964237213,0.521040290594101,0.06939207779540846,0.004451038575667532,0.510939510939511,0.5540284360189573,0.5655526992287918,0.74,0.73,0.72,0.72
29,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.005,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.6233333349227905,0.5519999980926513,0.5041392028331757,0.11833629336322482,-0.009104397086593163,0.5135135135135135,0.5540284360189573,0.5655526992287918,0.51,0.73,0.47,0.72
30,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.1,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.6130769312381744,0.5119999945163727,0.29886447489261625,0.012126417538905088,-0.039115187483140024,0.5135135135135135,0.5540284360189573,0.5655526992287918,0.4,0.73,0.36,0.72
31,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.1,0,False,4,64,True,0.4,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5122695982456207,0.49200000166893004,0.41124542951583865,-0.052412545674231814,-0.0510655516590236,0.5006435006435006,0.5540284360189573,0.5655526992287918,0.14,0.73,0.08,0.72
32,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.1,0,False,4,64,True,0.5,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5756477832794189,0.5199999868869781,0.4193699717521667,-0.00017014106240798021,-0.014998651200431645,0.5534105534105535,0.5540284360189573,0.5655526992287918,1.13,0.73,1.09,0.72
33,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DRNN,adam,0.2,0,False,4,64,True,0.3,True,0.0005,1,LTSM,0.0,-0.0,129345.0,2110.0,0.5027027189731598,0.4839999914169312,0.4234220623970032,0.024843324647344067,-0.00327758295117353,0.4723294723294723,0.5540284360189573,0.5655526992287918,1.66,0.73,1.56,0.72
