,frequency,vix,target_label,n_label,clip,date1,date2,date3,start_trading_time,end_trading_time,run_boruta,drop_correlated_features,epochs,long,ml_type,optimiser,lr,momentum,nesterov,hl,hu,dropout,rate,regularize,reg_l1,lags,layer,target_up,target_down,trainable_parameters,training_records,precision,accuracy,recall,gini,test_gini,test_accuracy,val_precision,val_accuracy,val_recall,train_label_freq,test_label_freq,gross_IR,gross_IR_baseline,net_IR,net_IR_baseline
20,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.2,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.4354415416717529,0.49316181540489196,0.5359133124351502,0.12833255256061493,-0.06533082302313076,0.42159383033419023,0.43966093063354494,0.4486571907997131,0.9796363830566406,0.4364928909952607,0.43444730077120824,-1.01,-0.72,-1.02,-0.72
21,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.6155800819396973,0.6890995264053345,0.7705882310867309,0.5432233037370247,-0.014671866594943461,0.4832904884318766,0.47418559193611143,0.5358609914779663,0.6312727212905884,0.4364928909952607,0.43444730077120824,-0.34,-0.72,-0.36,-0.72
22,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.5304940819740296,0.6031144261360168,0.804643964767456,0.40389053109895356,0.011222431414739109,0.448586118251928,0.4691843092441559,0.5216429710388184,0.7403636336326599,0.4364928909952607,0.43444730077120824,-0.63,-0.72,-0.64,-0.72
23,1d,True,0.0,1,3.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,False,DNN,sgd,0.4,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20417.0,2110.0,0.48083165287971497,0.5336492896080017,0.8284829735755921,0.2509650076844472,0.011451048951049092,0.43316195372750643,0.4415560483932495,0.45497630834579467,0.9541818141937256,0.4364928909952607,0.43444730077120824,-0.67,-0.72,-0.68,-0.72
24,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.05,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5845990300178527,0.5503046631813049,0.6421568632125855,0.20263556688050954,0.04989241527703081,0.5244215938303342,0.5645413041114807,0.5573459506034851,0.9019830107688904,0.5540284360189573,0.5655526992287918,0.66,0.72,0.63,0.72
25,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.05,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5601389408111572,0.5275558590888977,0.6740196108818054,0.04533607750341129,0.013750672404518438,0.5347043701799485,0.556668472290039,0.5532385468482971,0.976770544052124,0.5540284360189573,0.5655526992287918,0.46,0.72,0.44,0.72
26,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.05,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.555773138999939,0.5211916089057922,0.664950966835022,-0.011278793559078903,0.006656804733727872,0.5629820051413882,0.5572108387947082,0.5563981056213378,0.9960339784622192,0.5540284360189573,0.5655526992287918,0.81,0.72,0.8,0.72
27,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.1,0,False,4,64,True,0.3,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.6368882894515991,0.6235612750053405,0.7414215683937073,0.40470114878789554,0.012883270575578365,0.5308483290488432,0.5746137738227844,0.5699841976165771,0.8810198187828064,0.5540284360189573,0.5655526992287918,0.56,0.72,0.53,0.72
28,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.1,0,False,4,64,True,0.4,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5779709696769715,0.5534190893173218,0.7107843160629272,0.18677416686287351,0.04912587412587399,0.5398457583547558,0.5562663078308105,0.5494470715522766,0.9495750784873962,0.5540284360189573,0.5655526992287918,0.9,0.72,0.88,0.72
29,1d,True,0.0,1,10.0,2008-08-31 23:59:00,2018-08-31 23:59:00,2021-08-31 23:59:00,00:00:00,23:59:59,False,True,50,True,DNN,sgd,0.1,0,False,4,64,True,0.5,True,0.0005,5,SimpleRNN,0.0,-0.0,20161.0,2110.0,0.5670183181762696,0.5404197692871093,0.7115196108818054,-0.022471225758593505,-0.048029854760623936,0.5616966580976864,0.557926070690155,0.5573459744453431,0.9932011246681214,0.5540284360189573,0.5655526992287918,0.7,0.72,0.69,0.72
